"year","month","day","start","end","length","date"
2016,10,"6",2017-08-21 06:59:00,2017-08-21 18:19:00,"11:20:35",2016-10-06
2016,10,"7",2017-08-21 07:00:00,2017-08-21 18:17:00,"11:17:01",2016-10-07
2016,10,"8",2017-08-21 07:02:00,2017-08-21 18:15:00,"11:13:28",2016-10-08
2016,10,"9",2017-08-21 07:03:00,2017-08-21 18:13:00,"11:09:56",2016-10-09
2016,10,"10",2017-08-21 07:05:00,2017-08-21 18:11:00,"11:06:23",2016-10-10
2016,10,"11",2017-08-21 07:06:00,2017-08-21 18:09:00,"11:02:51",2016-10-11
2016,10,"12",2017-08-21 07:08:00,2017-08-21 18:07:00,"10:59:20",2016-10-12
2016,10,"13",2017-08-21 07:09:00,2017-08-21 18:05:00,"10:55:49",2016-10-13
2016,10,"14",2017-08-21 07:11:00,2017-08-21 18:03:00,"10:52:18",2016-10-14
2016,10,"15",2017-08-21 07:12:00,2017-08-21 18:01:00,"10:48:48",2016-10-15
